"","id","cal_d13C","cal_d15N","cal_d34S","FA_C16_0","FA_C16_1","FA_C18_0","FA_C18_1","FA_C18_2n6","FA_C18_3n3","FA_C18_4n3","FA_C20_1","FA_C20_4n3","FA_C20_5n3","FA_C22_1","FA_C22_5n3","FA_C22_6n3","FA_C24_1"
"1","CA-1",-23.9280992107689,10.3348941110497,19.1205143233178,13.974407703028,2.53389078930698,3.15469403268719,12.9608513873052,1.43164829595844,1.22893703281389,1.73571519067528,20.6512099328519,1.12758140124161,5.27049284175852,14.9879640187508,1.22893703281389,11.5672114531864,1.17825921702775
"3","CA-10",-21.7013086563244,10.1480830856684,18.9128114316463,15.0602409638554,2.5,4.06626506024097,12.8614457831325,1.35542168674699,1.14457831325301,1.80722891566265,19.1265060240964,0.993975903614458,4.96987951807229,13.1325301204819,1.3855421686747,13.5240963855422,1.20481927710843
"5","CA-11",-24.281518262214,10.5103643710796,18.810689387313,12.8628447024673,3.16582002902758,2.63062409288824,15.2939042089985,1.56930333817126,1.27902757619739,1.75072568940493,21.8795355587808,1.08853410740203,4.83490566037736,14.9401306240929,1.36973875181422,9.1255442670537,1.14296081277213
"7","CA-12",-22.105236086036,10.5103643710796,18.9824651203524,14.0753748480346,2.33689044981764,3.44454950695664,12.9812238281778,1.4183439146292,1.12116709442118,1.94515736863434,21.194110495745,1.107659057139,5.70039173308118,12.7515871943807,1.29677157908956,12.3733621504795,0.945562609752803
"9","CA-13",-23.2598774216995,10.4401159223849,18.8621713355184,13.1793795194775,2.50758105901563,3.23069745742944,13.6459062281316,1.48122229997667,1.14299043620247,1.90109633776534,22.4515978539771,1.11966410076977,5.50501516211803,13.1793795194775,1.29461161651505,11.2782831817122,0.874737578726382
"11","CA-14",-22.6891246795541,10.481595958757,19.1669169976701,15.0317427810772,2.8056522629531,3.35859103010444,13.9053860331763,1.37210731107925,1.16731517509728,1.59737866065943,17.7759574032357,1.04443989350809,5.50890845791522,12.9019045668646,1.45402416547205,14.5197624411223,1.24923202949007
"13","CA-15",-22.8658018805174,10.6107192977863,19.0047894800827,13.7597556837462,2.37529691211401,3.35934848998982,13.3186291143536,1.40821174075331,1.11978282999661,1.90023752969121,21.021377672209,1.10281642348151,5.75161180861894,12.7757041058704,1.34034611469291,12.877502544961,0.933152358330506
"15","CA-16",-23.2864775207293,10.6859854928164,18.857163560362,14.0687327401043,2.42405645903651,3.37526848726603,13.2402577477754,1.4114759128567,1.11997545259282,1.90242405645904,20.8652961030991,1.13531758208039,5.89137772322798,12.6265725682725,1.33476526541884,12.7186253451979,0.889843510279227
"17","CA-17",-22.0815915535651,10.8054078555974,19.346819835621,14.3156199677939,2.44766505636071,3.49436392914654,13.1723027375201,1.27214170692432,0.998389694041868,1.83574879227053,18.7600644122383,1.03059581320451,6.13526570048309,12.8502415458937,1.30434782608696,14.8792270531401,1.04669887278583
"19","CA-18",-22.038243244035,10.7923617151255,19.4223148390505,15.627425614489,1.73350582147477,3.95860284605433,10.0905562742561,1.21604139715395,1.00905562742561,1.73350582147477,17.0504527813713,1.21604139715395,5.95084087968952,12.3156532988357,1.31953428201811,18.6545924967658,1.26778783958603
"21","CA-19",-23.8303017675605,10.5505063417623,18.9136098080824,13.3393829401089,3.02048224008297,2.86492092299715,14.6875810215193,1.52968628467721,1.25745397977703,1.84080891884885,21.0267046927664,1.10189266269121,5.08166969147005,14.3634949442572,1.40005185377236,10.3577910292974,1.12781954887218
"23","CA-2",-21.9338132256218,10.2654983499153,19.0712174083565,12.5917560700169,2.82326369282891,2.89384528514963,14.356295878035,1.65160926030491,1.12930547713156,2.11744776962168,20.5392433653303,1.14342179559571,5.85827216261999,15.9373235460192,1.45398080180689,9.88142292490118,1.10107284020327
"25","CA-20",-21.9476058695632,10.5093608218126,18.905911094323,14.5981813713443,2.45760629147211,3.95674612927009,12.6812484639961,1.42541164905382,1.10592283116245,2.43303022855738,18.0388301794053,1.13049889407717,6.0702875399361,14.2786925534529,1.44998771196854,12.6566724010813,1.08134676824773
"27","CA-21",-23.3781000840541,10.680967746481,19.1192047721534,12.9789272030651,2.01149425287356,3.13697318007663,11.3386015325671,1.49664750957854,1.30507662835249,1.72413793103448,23.0962643678161,1.26915708812261,4.52586206896552,15.5771072796935,1.22126436781609,11.3984674329502,1.25718390804598
"29","CA-22",-21.4510706876738,10.5635524822342,19.3726423225296,17.6096630642085,1.3986013986014,5.46726001271456,8.01017164653528,1.20788302606484,1.33502860775588,2.22504767959313,11.3795295613477,1.27145581691036,6.42085187539733,8.32803560076287,1.33502860775588,26.255562619199,1.27145581691036
"31","CA-23",-24.2726515625374,10.5786057212402,19.0142538927537,14.4570707070707,2.66203703703704,3.0513468013468,14.9515993265993,1.58880471380471,1.34680134680135,2.63047138047138,18.8762626262626,1.39941077441077,6.54461279461279,11.5004208754209,1.33627946127946,11.4057239057239,0.852272727272727
"32","CA-24",-22.567289658072,10.5876376646438,18.9539287618824,13.2238942088463,2.7359781121751,2.82717738258094,13.9078887368901,1.42878856969144,1.12479100167199,2.0671834625323,20.3070375436996,1.10959112327101,5.6999544003648,15.8838729290166,1.47438820489436,10.4879160966712,1.13999088007296
"34","CA-25",-24.7268236237497,10.4170342892424,18.6452364116094,13.0037167449139,3.02230046948357,2.34741784037559,14.9354460093897,1.52582159624413,1.26173708920188,1.72143974960876,21.0925273865415,1.16881846635368,5.31103286384977,15.5712050078247,1.22750391236307,9.59996087636933,1.16881846635368
"36","CA-26",-22.4805930390119,10.7010387318224,19.4865151779746,13.6472945891784,2.34468937875751,2.90581162324649,13.0060120240481,1.44288577154309,1.18236472945892,1.70340681362725,21.1022044088176,1.10220440881764,5.95190380761523,12.7655310621243,1.3627254509018,13.6673346693387,0.94188376753507
"38","CA-27",-22.8582487659781,10.1915702205747,19.0555606239737,14.031659175298,2.40375219855384,2.67735000977135,12.780926324018,1.36798905608755,1.15301934727379,1.54387336329881,20.109439124487,1.11393394567129,5.51104162595271,14.8329099081493,1.25073285128005,13.3085792456517,1.2311901504788
"40","CA-28",-21.7190420556776,10.1832073100158,19.3316559241835,15.5676410605031,2.24337185588035,2.99116247450714,12.0326308633583,1.29163834126445,1.15567641060503,1.56356220258328,16.043507817811,1.15567641060503,6.6281441196465,12.0666213460231,1.39360978925901,18.5248130523453,1.12168592794018
"42","CA-29",-22.2333106369202,10.6568825640714,19.3296732015629,14.5809578107184,2.0381984036488,3.05017103762828,11.7873432155074,1.36830102622577,1.29703534777651,1.6248574686431,18.7001140250855,1.31128848346636,5.81527936145952,13.2269099201824,1.31128848346636,15.6499429874572,1.28278221208666
"44","CA-3",-21.8096794301494,10.4692188511299,19.4299311299897,14.2320534223706,2.75459098497496,2.83806343906511,13.5225375626043,1.56510851419032,1.10601001669449,1.98247078464107,18.0300500834725,1.12687813021703,6.32303839732888,14.4824707846411,1.48163606010017,13.0217028380634,1.1686143572621
"46","CA-30",-23.1879586354337,10.7722907297841,19.3060211200887,14.0049648324369,1.94455937112122,3.02027306578403,10.9019445593711,1.4480761274307,1.30326851468763,1.57219693835333,20.7902358295408,1.26189491104675,5.13032685146876,14.294580057923,1.26189491104675,14.5635084815887,1.26189491104675
"48","CA-4",-22.2185328041258,10.5214034130174,19.3827319560906,14.7161066048667,3.08516801853998,2.7954808806489,14.3105446118192,1.43395133256083,1.15874855156431,2.08574739281576,17.5405561993047,1.1297798377752,6.46002317497103,13.6442641946698,1.43395133256083,12.4130938586327,1.08632676709154
